series,t_seconds,value
spillover,6736.075,0.992332
spillover,6743.700,0.992332
spillover,6751.474,0.992356
spillover,6761.521,0.992361
spillover,6770.172,0.992378
spillover,6772.584,0.992365
spillover,6779.704,0.992358
spillover,6782.813,0.992370
spillover,6791.118,0.992373
spillover,6808.360,0.992389
spillover,6811.089,0.992363
spillover,6823.613,0.992342
spillover,6834.909,0.992335
spillover,6845.712,0.992303
spillover,6853.025,0.992287
spillover,6862.027,0.992282
spillover,6869.964,0.992268
spillover,6877.117,0.992295
spillover,6879.386,0.992330
spillover,6886.744,0.992324
spillover,6897.042,0.992324
spillover,6905.173,0.992326
spillover,6912.069,0.992326
spillover,6918.999,0.992331
spillover,6925.140,0.992347
spillover,6927.198,0.992332
spillover,6935.316,0.992337
spillover,6944.691,0.992311
spillover,6952.603,0.992311
spillover,6954.870,0.992323
spillover,6962.843,0.992332
spillover,6969.909,0.992332
spillover,6978.818,0.992356
spillover,6989.761,0.992377
spillover,6996.079,0.992377
spillover,7000.116,0.992363
spillover,7006.250,0.992358
spillover,7010.460,0.992370
spillover,7021.005,0.992373
spillover,7034.070,0.992389
spillover,7038.822,0.992348
spillover,7051.522,0.992342
spillover,7060.871,0.992335
spillover,7070.670,0.992303
spillover,7074.865,0.992302
spillover,7084.133,0.992282
spillover,7092.735,0.992289
spillover,7100.692,0.992295
spillover,7103.901,0.992330
spillover,7118.218,0.992324
spillover,7126.747,0.992324
spillover,7137.945,0.992342
spillover,7146.634,0.992342
spillover,7155.457,0.992342
spillover,7161.629,0.992349
spillover,7164.147,0.992295
spillover,7174.992,0.992307
spillover,7180.082,0.992313
spillover,7187.615,0.992318
spillover,7190.818,0.992331
spillover,7197.441,0.992332
spillover,7207.281,0.992342
spillover,7214.748,0.992356
spillover,7242.070,0.992381
spillover,7249.563,0.992397
spillover,7254.135,0.992365
spillover,7262.096,0.992358
spillover,7265.538,0.992375
spillover,7272.501,0.992382
spillover,7283.212,0.992375
spillover,7287.244,0.992348
spillover,7297.614,0.992347
spillover,7305.854,0.992331
spillover,7312.918,0.992316
spillover,7316.889,0.992321
spillover,7324.930,0.992316
spillover,7336.616,0.992289
spillover,7351.041,0.992295
spillover,7353.557,0.992330
spillover,7360.253,0.992324
spillover,7370.396,0.992324
spillover,7375.573,0.992336
spillover,7381.384,0.992330
spillover,7387.763,0.992342
spillover,7395.025,0.992347
spillover,7398.122,0.992331
spillover,7406.029,0.992337
spillover,7412.379,0.992337
spillover,7419.624,0.992309
spillover,7430.404,0.992321
spillover,7440.065,0.992321
spillover,7448.535,0.992348
spillover,7459.892,0.992369
spillover,7465.989,0.992371
spillover,7471.053,0.992354
spillover,7478.099,0.992348
spillover,7482.946,0.992371
spillover,7490.510,0.992377
spillover,7500.443,0.992389
spillover,7504.947,0.992363
spillover,7513.344,0.992347
spillover,7522.255,0.992331
spillover,7532.398,0.992324
spillover,7537.205,0.992321
spillover,7545.440,0.992295
spillover,7555.529,0.992289
spillover,7563.903,0.992277
spillover,7567.618,0.992330
